threshold:  0.101171575 ,cutoff:  0.476887701866 ,fpr:  0.00949094046592 ,tpr:  0.523206751055
threshold:  0.101125048 ,cutoff:  0.476891167385 ,fpr:  0.00966350301984 ,tpr:  0.523206751055
threshold:  0.100752396 ,cutoff:  0.476894695321 ,fpr:  0.00983606557377 ,tpr:  0.523206751055
threshold:  0.100539616 ,cutoff:  0.476898285672 ,fpr:  0.0100086281277 ,tpr:  0.523206751055
threshold:  0.100524773 ,cutoff:  0.476901938435 ,fpr:  0.0101811906816 ,tpr:  0.523206751055
threshold:  0.100506429 ,cutoff:  0.476905653611 ,fpr:  0.0103537532355 ,tpr:  0.523206751055
threshold:  0.100488733 ,cutoff:  0.472687247701 ,fpr:  0.0103537532355 ,tpr:  0.527426160338
threshold:  0.100418316 ,cutoff:  0.468468859864 ,fpr:  0.0103537532355 ,tpr:  0.53164556962
threshold:  0.100373974 ,cutoff:  0.464250490592 ,fpr:  0.0103537532355 ,tpr:  0.535864978903
threshold:  0.100339908 ,cutoff:  0.460032140395 ,fpr:  0.0103537532355 ,tpr:  0.540084388186
threshold:  0.100318733 ,cutoff:  0.455813809804 ,fpr:  0.0103537532355 ,tpr:  0.544303797468
threshold:  0.10030414 ,cutoff:  0.451595499367 ,fpr:  0.0103537532355 ,tpr:  0.548523206751
threshold:  0.100102143 ,cutoff:  0.451599488669 ,fpr:  0.0105263157895 ,tpr:  0.548523206751
threshold:  0.099692348 ,cutoff:  0.447381236572 ,fpr:  0.0105263157895 ,tpr:  0.552742616034
threshold:  0.09949175 ,cutoff:  0.443163006506 ,fpr:  0.0105263157895 ,tpr:  0.556962025316
threshold:  0.099491201 ,cutoff:  0.438944799109 ,fpr:  0.0105263157895 ,tpr:  0.561181434599
threshold:  0.099200925 ,cutoff:  0.438948971224 ,fpr:  0.0106988783434 ,tpr:  0.561181434599
threshold:  0.098896444 ,cutoff:  0.434730827635 ,fpr:  0.0106988783434 ,tpr:  0.565400843882
threshold:  0.098866922 ,cutoff:  0.430512708853 ,fpr:  0.0106988783434 ,tpr:  0.569620253165
threshold:  0.09881902 ,cutoff:  0.43051703185 ,fpr:  0.0108714408973 ,tpr:  0.569620253165
threshold:  0.098612063 ,cutoff:  0.430521423971 ,fpr:  0.0110440034513 ,tpr:  0.569620253165
threshold:  0.09858078 ,cutoff:  0.426303416964 ,fpr:  0.0110440034513 ,tpr:  0.573839662447
threshold:  0.098556142 ,cutoff:  0.422085437988 ,fpr:  0.0110440034513 ,tpr:  0.57805907173
threshold:  0.098425109 ,cutoff:  0.422089988394 ,fpr:  0.0112165660052 ,tpr:  0.57805907173
threshold:  0.09834625 ,cutoff:  0.422094609298 ,fpr:  0.0113891285591 ,tpr:  0.57805907173
threshold:  0.098240492 ,cutoff:  0.422099300699 ,fpr:  0.011561691113 ,tpr:  0.57805907173
threshold:  0.098150842 ,cutoff:  0.422104062594 ,fpr:  0.011734253667 ,tpr:  0.57805907173
threshold:  0.097985705 ,cutoff:  0.422108894981 ,fpr:  0.0119068162209 ,tpr:  0.57805907173
threshold:  0.097929127 ,cutoff:  0.422113797857 ,fpr:  0.0120793787748 ,tpr:  0.57805907173
threshold:  0.097925892 ,cutoff:  0.417896134005 ,fpr:  0.0120793787748 ,tpr:  0.582278481013
threshold:  0.097914353 ,cutoff:  0.417901157562 ,fpr:  0.0122519413287 ,tpr:  0.582278481013
threshold:  0.097765244 ,cutoff:  0.413683580526 ,fpr:  0.0122519413287 ,tpr:  0.586497890295
threshold:  0.097455683 ,cutoff:  0.413688727218 ,fpr:  0.0124245038827 ,tpr:  0.586497890295
threshold:  0.097309705 ,cutoff:  0.413693945826 ,fpr:  0.0125970664366 ,tpr:  0.586497890295
threshold:  0.097260403 ,cutoff:  0.409476513304 ,fpr:  0.0125970664366 ,tpr:  0.590717299578
threshold:  0.097134798 ,cutoff:  0.409481858315 ,fpr:  0.0127696289905 ,tpr:  0.590717299578
threshold:  0.097126377 ,cutoff:  0.409487275976 ,fpr:  0.0129421915444 ,tpr:  0.590717299578
threshold:  0.096747251 ,cutoff:  0.409492766285 ,fpr:  0.0131147540984 ,tpr:  0.590717299578
threshold:  0.096596117 ,cutoff:  0.409498329238 ,fpr:  0.0132873166523 ,tpr:  0.590717299578
threshold:  0.096589627 ,cutoff:  0.409503964832 ,fpr:  0.0134598792062 ,tpr:  0.590717299578
threshold:  0.096427367 ,cutoff:  0.409509673064 ,fpr:  0.0136324417601 ,tpr:  0.590717299578
threshold:  0.096200238 ,cutoff:  0.409515453932 ,fpr:  0.0138050043141 ,tpr:  0.590717299578
threshold:  0.096184622 ,cutoff:  0.409521307431 ,fpr:  0.013977566868 ,tpr:  0.590717299578
threshold:  0.096138699 ,cutoff:  0.405304382167 ,fpr:  0.013977566868 ,tpr:  0.594936708861
threshold:  0.096047525 ,cutoff:  0.405310369953 ,fpr:  0.0141501294219 ,tpr:  0.594936708861
threshold:  0.096046349 ,cutoff:  0.405316431118 ,fpr:  0.0143226919758 ,tpr:  0.594936708861
threshold:  0.095994091 ,cutoff:  0.405322565659 ,fpr:  0.0144952545298 ,tpr:  0.594936708861
threshold:  0.095896377 ,cutoff:  0.405328773573 ,fpr:  0.0146678170837 ,tpr:  0.594936708861
threshold:  0.095894256 ,cutoff:  0.405335054858 ,fpr:  0.0148403796376 ,tpr:  0.594936708861
threshold:  0.095870031 ,cutoff:  0.405341409508 ,fpr:  0.0150129421915 ,tpr:  0.594936708861
threshold:  0.095848281 ,cutoff:  0.405347837521 ,fpr:  0.0151855047455 ,tpr:  0.594936708861
threshold:  0.095438336 ,cutoff:  0.405354338893 ,fpr:  0.0153580672994 ,tpr:  0.594936708861
threshold:  0.095337633 ,cutoff:  0.401137991037 ,fpr:  0.0153580672994 ,tpr:  0.599156118143
threshold:  0.095324303 ,cutoff:  0.401151352825 ,fpr:  0.0157031924072 ,tpr:  0.599156118143
threshold:  0.095225348 ,cutoff:  0.401158144897 ,fpr:  0.0158757549612 ,tpr:  0.599156118143
threshold:  0.095190699 ,cutoff:  0.401165011083 ,fpr:  0.0160483175151 ,tpr:  0.599156118143
threshold:  0.095147494 ,cutoff:  0.39694901529 ,fpr:  0.0160483175151 ,tpr:  0.603375527426
threshold:  0.095108331 ,cutoff:  0.396956029296 ,fpr:  0.016220880069 ,tpr:  0.603375527426
threshold:  0.094997665 ,cutoff:  0.392740182114 ,fpr:  0.016220880069 ,tpr:  0.607594936709
threshold:  0.094878253 ,cutoff:  0.388524412268 ,fpr:  0.016220880069 ,tpr:  0.611814345992
threshold:  0.094742228 ,cutoff:  0.388531655003 ,fpr:  0.016393442623 ,tpr:  0.611814345992
threshold:  0.094718743 ,cutoff:  0.388538974243 ,fpr:  0.0165660051769 ,tpr:  0.611814345992
threshold:  0.094659552 ,cutoff:  0.388546369984 ,fpr:  0.0167385677308 ,tpr:  0.611814345992
threshold:  0.094499135 ,cutoff:  0.384330920872 ,fpr:  0.0167385677308 ,tpr:  0.616033755274
threshold:  0.094338316 ,cutoff:  0.384338475066 ,fpr:  0.0169111302847 ,tpr:  0.616033755274
threshold:  0.094242094 ,cutoff:  0.384346106589 ,fpr:  0.0170836928387 ,tpr:  0.616033755274
threshold:  0.094005013 ,cutoff:  0.380130913752 ,fpr:  0.0170836928387 ,tpr:  0.620253164557
threshold:  0.093919175 ,cutoff:  0.375915815522 ,fpr:  0.0170836928387 ,tpr:  0.62447257384
threshold:  0.093866906 ,cutoff:  0.375923697243 ,fpr:  0.0172562553926 ,tpr:  0.62447257384
threshold:  0.093432277 ,cutoff:  0.375931658009 ,fpr:  0.0174288179465 ,tpr:  0.62447257384
threshold:  0.093381416 ,cutoff:  0.375939697816 ,fpr:  0.0176013805004 ,tpr:  0.62447257384
threshold:  0.093339554 ,cutoff:  0.371724968213 ,fpr:  0.0176013805004 ,tpr:  0.628691983122
threshold:  0.093305454 ,cutoff:  0.367510346006 ,fpr:  0.0176013805004 ,tpr:  0.632911392405
threshold:  0.093072482 ,cutoff:  0.367518651061 ,fpr:  0.0177739430544 ,tpr:  0.632911392405
threshold:  0.092988413 ,cutoff:  0.36752703695 ,fpr:  0.0179465056083 ,tpr:  0.632911392405
